Cat no.,Description,Colour,Price (Rs.)
C5712 .01,External Buzzer for Call Bell Station - Module,Frost White,566
C5232 .01,“Do Not Disturb” Switch with indicator - 1 Module,Frost White,456
C5233 .01,“Clean My Room” Switch with indicator - 1 Module,Frost White,456
C5906 .01,Volume Control 100 Ohms 1 Watt - 2 Module,Frost White,758
C5262 .01,Bell Switch with “Do Not Disturb” & “Clean My Room” Indicator - 2M ,Frost White,738
C5263 .01,"Bell Switch with “DND”,“CMR” & Guest is in Indicator - 2M ",Frost White,817
C5450 .01,Push Button Station (Start - Stop) - 2 Module,Frost White,636
C5460 .01,Curtain Control Switch 6A - 2M,Frost White,704
C5717 .02,25A Smart Card operated Electronic switch in 2 Module with indicator & exit time delay feature including Smart Card - 2 Module,Quartz Gray,3335
C5718 .02,30A Smart Card operated Electronic switch in 3 Module with indicator & exit time delay feature including Smart Card - 3 Module,Quartz Gray,3218
C5724 .02,Smart Card - Customized,Quartz Gray,222
C5719 .02,25A Key Fob Switch Double Pole with indicator - 2 Module,Quartz Gray,1721
C5720 .02,Key Fob - Customized,Quartz Gray,255
C5723 .02,Shaver Socket 220V/110V - 3 Module,Quartz Gray,3058
C5711 .02,Call Bell Station with Register and provision of External Buzzer- 2 Module,Quartz Gray,1737
C5712 .02,External Buzzer for Call Bell Station - Module,Quartz Gray,690
C5232 .02,“Do Not Disturb” Switch with indicator - 1 Module,Quartz Gray,546
C5233 .02,“Clean My Room” Switch with indicator - 1 Module,Quartz Gray,546
C5906 .02,Volume Control 100 Ohms 1 Watt - 2 Module,Quartz Gray,946
C5262 .02,Bell Switch with “Do Not Disturb” & “Clean My Room” Indicator - 2M ,Quartz Gray,929
C5263 .02,"Bell Switch with “DND”,“CMR” & Guest is in Indicator - 2M ",Quartz Gray,1002
C5450 .02,Push Button Station (Start - Stop) - 2 Module,Quartz Gray,763
C5460 .02,Curtain Control Switch 6A - 2M,Quartz Gray,847
C5717 .17,25A Smart Card operated Electronic switch in 2 Module with indicator & exit time delay feature including Smart Card - 2 Module,Charcoal Black,3939
C5718 .17,30A Smart Card operated Electronic switch in 3 Module with indicator & exit time delay feature including Smart Card - 3 Module,Charcoal Black,3801
C5724 .17,Smart Card - Customized,Charcoal Black,288
C5719 .17,25A Key Fob Switch Double Pole with indicator - 2 Module,Charcoal Black,1852
C5720 .17,Key Fob - Customized,Charcoal Black,294
C5723 .17,Shaver Socket 220V/110V - 3 Module,Charcoal Black,3608
C5711 .17,Call Bell Station with Register and provision of External Buzzer- 2 Module,Charcoal Black,2044
C5712 .17,External Buzzer for Call Bell Station - Module,Charcoal Black,751
C5232 .17,“Do Not Disturb” Switch with indicator - 1 Module,Charcoal Black,588
C5233 .17,“Clean My Room” Switch with indicator - 1 Module,Charcoal Black,588
C5906 .17,Volume Control 100 Ohms 1 Watt - 2 Module,Charcoal Black,979
C5262 .17,Bell Switch with “Do Not Disturb” & “Clean My Room” Indicator - 2M ,Charcoal Black,951
C5263 .17,"Bell Switch with “DND”,“CMR” & Guest is in Indicator - 2M ",Charcoal Black,1084
C5450 .17,Push Button Station (Start - Stop) - 2 Module,Charcoal Black,820
C5460 .17,Curtain Control Switch 6A - 2M,Charcoal Black,907
C5797 .01,Coaxial T.V Socket - 1 Module,Frost White,244
C5725 .01,USB Extension Socket - 1 Module ,Frost White,580
C5736 .01,USB Charger Socket Outlet  A Type - 2.1 Amps. - 1 Module,Frost White,2599
C5836 .01,USB Charger Socket Outlet C Type - 2.1 Amps. - 1 Module,Frost White,2875
C5936 .01,USB Charger Socket Outlet A+C Type - 2.1 Amps. - 1 Module,Frost White,3136
C5837 .01,USB Charger Socket Outlet C Type - 3.1 Amps. - 1 Module,Frost White,3125
C5938 .01,USB Charger Socket Outlet A+C Type - 3.1 Amps. - 1 Module,Frost White,3353
C5939 .01,USB Charger Socket Outlet C+C Type - 3.1 Amps. - 1 Module,Frost White,3517
C5729 .01,Computer Monitor Output Socket - 1 Module,Frost White,403
C5739 .01,HDMI Socket - 1 Module,Frost White,1579
C5800 .01,Telephone Socket RJ-11 Double Line Shuttered - 1 Module,Frost White,234
C5820 .01,Twin Telephone Socket RJ-11 - 1 Module,Frost White,378
C5802 .01,Information Socket 6e - UTP Shuttered - 1 Module,Frost White,863
C5803 .01,Information Socket 6a - UTP Shuttered - 1 Module,Frost White,1456
C5701 .01,Triple RCA Audio Visual Socket - 1 Module,Frost White,799
C5500 .01,Cord Outlet - 1 Module,Frost White,178
C5700 .01,Blanking Plate - 1 Module,Frost White,61
C5798 .01,Audio Port / Jack 3.5mm - 1 Module,Frost White,463
C5809 .01,Fitment for RJ-45 Computer Socket Shuttered - 1 Module,Frost White,261
C5797 .02,Coaxial T.V Socket - 1 Module,Quartz Gray,293
C5725 .02,USB Extension Socket - 1 Module ,Quartz Gray,696
C5736 .02,USB Charger Socket Outlet  A Type - 2.1 Amps. - 1 Module,Quartz Gray,3118
C5836 .02,USB Charger Socket Outlet C Type - 2.1 Amps. - 1 Module,Quartz Gray,3448
C5936 .02,USB Charger Socket Outlet A+C Type - 2.1 Amps. - 1 Module,Quartz Gray,3762
C5837 .02,USB Charger Socket Outlet C Type - 3.1 Amps. - 1 Module,Quartz Gray,3750
C5938 .02,USB Charger Socket Outlet A+C Type - 3.1 Amps. - 1 Module,Quartz Gray,4022
C5939 .02,USB Charger Socket Outlet C+C Type - 3.1 Amps. - 1 Module,Quartz Gray,4190
C5729 .02,Computer Monitor Output Socket - 1 Module,Quartz Gray,484
C5739 .02,HDMI Socket - 1 Module,Quartz Gray,1894
C5800 .02,Telephone Socket RJ-11 Double Line Shuttered - 1 Module,Quartz Gray,282
C5820 .02,Twin Telephone Socket RJ-11 - 1 Module,Quartz Gray,453
C5802 .02,Information Socket 6e - UTP Shuttered - 1 Module,Quartz Gray,1035
C5803 .02,Information Socket 6a - UTP Shuttered - 1 Module,Quartz Gray,1747
C5701 .02,Triple RCA Audio Visual Socket - 1 Module,Quartz Gray,957
C5500 .02,Cord Outlet - 1 Module,Quartz Gray,212
C5700 .02,Blanking Plate - 1 Module,Quartz Gray,75
C5798 .02,Audio Port / Jack 3.5mm - 1 Module,Quartz Gray,554
C5809 .02,Fitment for RJ-45 Computer Socket Shuttered - 1 Module,Quartz Gray,312
C5797 .17,Coaxial T.V Socket - 1 Module,Charcoal Black,318
C5725 .17,USB Extension Socket - 1 Module ,Charcoal Black,755
